year,period,week_ending,state,state_ansi,watershed,data_item,value,cv
2016,MARKETING YEAR,,WEST VIRGINIA,54,,INVENTORY,5000,
2016,MARKETING YEAR,,WISCONSIN,55,,INVENTORY,54000,
2016,MARKETING YEAR,,WYOMING,56,,INVENTORY,40000,
2015,MARKETING YEAR,,ALABAMA,1,,INVENTORY,7000,
2015,MARKETING YEAR,,ARIZONA,4,,INVENTORY,26000,
2015,MARKETING YEAR,,ARKANSAS,5,,INVENTORY,24000,
2015,MARKETING YEAR,,CALIFORNIA,6,,INVENTORY,275000,
2015,MARKETING YEAR,,COLORADO,8,,INVENTORY,29000,
2015,MARKETING YEAR,,FLORIDA,12,,INVENTORY,220000,
2015,MARKETING YEAR,,GEORGIA,13,,INVENTORY,69000,
2015,MARKETING YEAR,,HAWAII,15,,INVENTORY,14000,
2015,MARKETING YEAR,,IDAHO,16,,INVENTORY,89000,
2015,MARKETING YEAR,,ILLINOIS,17,,INVENTORY,8000,
2015,MARKETING YEAR,,INDIANA,18,,INVENTORY,6000,
2015,MARKETING YEAR,,IOWA,19,,INVENTORY,36000,
2015,MARKETING YEAR,,KANSAS,20,,INVENTORY,8000,
2015,MARKETING YEAR,,KENTUCKY,21,,INVENTORY,5000,
2015,MARKETING YEAR,,LOUISIANA,22,,INVENTORY,44000,
2015,MARKETING YEAR,,MAINE,23,,INVENTORY,10000,
2015,MARKETING YEAR,,MICHIGAN,26,,INVENTORY,90000,
2015,MARKETING YEAR,,MINNESOTA,27,,INVENTORY,122000,
2015,MARKETING YEAR,,MISSISSIPPI,28,,INVENTORY,15000,
2015,MARKETING YEAR,,MISSOURI,29,,INVENTORY,10000,
2015,MARKETING YEAR,,MONTANA,30,,INVENTORY,146000,
2015,MARKETING YEAR,,NEBRASKA,31,,INVENTORY,57000,
2015,MARKETING YEAR,,NEW JERSEY,34,,INVENTORY,12000,
2015,MARKETING YEAR,,NEW YORK,36,,INVENTORY,58000,
2015,MARKETING YEAR,,NORTH CAROLINA,37,,INVENTORY,12000,
2015,MARKETING YEAR,,NORTH DAKOTA,38,,INVENTORY,490000,
2015,MARKETING YEAR,,OHIO,39,,INVENTORY,17000,
2015,MARKETING YEAR,,OREGON,41,,INVENTORY,71000,
2015,MARKETING YEAR,,PENNSYLVANIA,42,,INVENTORY,17000,
2015,MARKETING YEAR,,SOUTH CAROLINA,45,,INVENTORY,14000,
2015,MARKETING YEAR,,SOUTH DAKOTA,46,,INVENTORY,290000,
2015,MARKETING YEAR,,TENNESSEE,47,,INVENTORY,7000,
2015,MARKETING YEAR,,TEXAS,48,,INVENTORY,126000,
2015,MARKETING YEAR,,UTAH,49,,INVENTORY,27000,
2015,MARKETING YEAR,,VERMONT,50,,INVENTORY,5000,
2015,MARKETING YEAR,,VIRGINIA,51,,INVENTORY,6000,
2015,MARKETING YEAR,,WASHINGTON,53,,INVENTORY,73000,
2015,MARKETING YEAR,,WEST VIRGINIA,54,,INVENTORY,5000,
2015,MARKETING YEAR,,WISCONSIN,55,,INVENTORY,52000,
2015,MARKETING YEAR,,WYOMING,56,,INVENTORY,38000,
2014,MARKETING YEAR,,ALABAMA,1,,INVENTORY,7000,
2014,MARKETING YEAR,,ARIZONA,4,,INVENTORY,26000,
2014,MARKETING YEAR,,ARKANSAS,5,,INVENTORY,21000,
2014,MARKETING YEAR,,CALIFORNIA,6,,INVENTORY,320000,
2014,MARKETING YEAR,,COLORADO,8,,INVENTORY,27000,
2014,MARKETING YEAR,,FLORIDA,12,,INVENTORY,245000,
2014,MARKETING YEAR,,GEORGIA,13,,INVENTORY,73000,
2014,MARKETING YEAR,,HAWAII,15,,INVENTORY,15000,
2014,MARKETING YEAR,,IDAHO,16,,INVENTORY,100000,
2014,MARKETING YEAR,,ILLINOIS,17,,INVENTORY,8000,
2014,MARKETING YEAR,,INDIANA,18,,INVENTORY,5000,
2014,MARKETING YEAR,,IOWA,19,,INVENTORY,35000,
2014,MARKETING YEAR,,KANSAS,20,,INVENTORY,7000,
2014,MARKETING YEAR,,KENTUCKY,21,,INVENTORY,5000,
2014,MARKETING YEAR,,LOUISIANA,22,,INVENTORY,48000,
2014,MARKETING YEAR,,MAINE,23,,INVENTORY,8000,
2014,MARKETING YEAR,,MICHIGAN,26,,INVENTORY,91000,
2014,MARKETING YEAR,,MINNESOTA,27,,INVENTORY,132000,
2014,MARKETING YEAR,,MISSISSIPPI,28,,INVENTORY,20000,
2014,MARKETING YEAR,,MISSOURI,29,,INVENTORY,12000,
2014,MARKETING YEAR,,MONTANA,30,,INVENTORY,162000,
2014,MARKETING YEAR,,NEBRASKA,31,,INVENTORY,50000,
2014,MARKETING YEAR,,NEW JERSEY,34,,INVENTORY,12000,
2014,MARKETING YEAR,,NEW YORK,36,,INVENTORY,60000,
2014,MARKETING YEAR,,NORTH CAROLINA,37,,INVENTORY,12000,
2014,MARKETING YEAR,,NORTH DAKOTA,38,,INVENTORY,490000,
2014,MARKETING YEAR,,OHIO,39,,INVENTORY,15000,
2014,MARKETING YEAR,,OREGON,41,,INVENTORY,71000,
2014,MARKETING YEAR,,PENNSYLVANIA,42,,INVENTORY,17000,
2014,MARKETING YEAR,,SOUTH CAROLINA,45,,INVENTORY,9000,
2014,MARKETING YEAR,,SOUTH DAKOTA,46,,INVENTORY,280000,
2014,MARKETING YEAR,,TENNESSEE,47,,INVENTORY,7000,
2014,MARKETING YEAR,,TEXAS,48,,INVENTORY,116000,
2014,MARKETING YEAR,,UTAH,49,,INVENTORY,29000,
2014,MARKETING YEAR,,VERMONT,50,,INVENTORY,3000,
2014,MARKETING YEAR,,VIRGINIA,51,,INVENTORY,6000,
